,Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
118,,"Hancock County, WV",54029.0,2012.0,2012.0,440.0,30305.0,1451.9
120,,"Hardy County, WV",54031.0,2006.0,2006.0,132.0,13611.0,969.8
121,,"Hardy County, WV",54031.0,2007.0,2007.0,140.0,13807.0,1014.0
122,,"Hardy County, WV",54031.0,2008.0,2008.0,128.0,13793.0,928.0
123,,"Hardy County, WV",54031.0,2009.0,2009.0,150.0,13885.0,1080.3
124,,"Hardy County, WV",54031.0,2010.0,2010.0,143.0,14025.0,1019.6
125,,"Hardy County, WV",54031.0,2011.0,2011.0,144.0,13912.0,1035.1
126,,"Hardy County, WV",54031.0,2012.0,2012.0,131.0,13866.0,944.8
128,,"Harrison County, WV",54033.0,2006.0,2006.0,828.0,68141.0,1215.1
129,,"Harrison County, WV",54033.0,2007.0,2007.0,855.0,67940.0,1258.5
130,,"Harrison County, WV",54033.0,2008.0,2008.0,823.0,68441.0,1202.5
131,,"Harrison County, WV",54033.0,2009.0,2009.0,874.0,68696.0,1272.3
132,,"Harrison County, WV",54033.0,2010.0,2010.0,828.0,69099.0,1198.3
133,,"Harrison County, WV",54033.0,2011.0,2011.0,930.0,69436.0,1339.4
134,,"Harrison County, WV",54033.0,2012.0,2012.0,834.0,69141.0,1206.2
136,,"Jackson County, WV",54035.0,2006.0,2006.0,306.0,28877.0,1059.7
137,,"Jackson County, WV",54035.0,2007.0,2007.0,318.0,29089.0,1093.2
138,,"Jackson County, WV",54035.0,2008.0,2008.0,346.0,29101.0,1189.0
139,,"Jackson County, WV",54035.0,2009.0,2009.0,331.0,29155.0,1135.3
140,,"Jackson County, WV",54035.0,2010.0,2010.0,326.0,29211.0,1116.0
141,,"Jackson County, WV",54035.0,2011.0,2011.0,315.0,29241.0,1077.3
142,,"Jackson County, WV",54035.0,2012.0,2012.0,352.0,29234.0,1204.1
144,,"Jefferson County, WV",54037.0,2006.0,2006.0,378.0,50003.0,756.0
145,,"Jefferson County, WV",54037.0,2007.0,2007.0,434.0,51264.0,846.6
146,,"Jefferson County, WV",54037.0,2008.0,2008.0,402.0,52184.0,770.4
147,,"Jefferson County, WV",54037.0,2009.0,2009.0,423.0,53054.0,797.3
148,,"Jefferson County, WV",54037.0,2010.0,2010.0,440.0,53498.0,822.5
149,,"Jefferson County, WV",54037.0,2011.0,2011.0,417.0,54225.0,769.0
150,,"Jefferson County, WV",54037.0,2012.0,2012.0,449.0,54504.0,823.8
152,,"Kanawha County, WV",54039.0,2006.0,2006.0,2403.0,192954.0,1245.4
153,,"Kanawha County, WV",54039.0,2007.0,2007.0,2443.0,192354.0,1270.1
154,,"Kanawha County, WV",54039.0,2008.0,2008.0,2578.0,192414.0,1339.8
155,,"Kanawha County, WV",54039.0,2009.0,2009.0,2457.0,193150.0,1272.1
156,,"Kanawha County, WV",54039.0,2010.0,2010.0,2473.0,193063.0,1280.9
157,,"Kanawha County, WV",54039.0,2011.0,2011.0,2391.0,192315.0,1243.3
158,,"Kanawha County, WV",54039.0,2012.0,2012.0,2418.0,192179.0,1258.2
160,,"Lewis County, WV",54041.0,2006.0,2006.0,235.0,16445.0,1429.0
161,,"Lewis County, WV",54041.0,2007.0,2007.0,240.0,16360.0,1467.0
162,,"Lewis County, WV",54041.0,2008.0,2008.0,219.0,16422.0,1333.6
163,,"Lewis County, WV",54041.0,2009.0,2009.0,223.0,16422.0,1357.9
164,,"Lewis County, WV",54041.0,2010.0,2010.0,198.0,16372.0,1209.4
165,,"Lewis County, WV",54041.0,2011.0,2011.0,202.0,16416.0,1230.5
166,,"Lewis County, WV",54041.0,2012.0,2012.0,238.0,16371.0,1453.8
168,,"Lincoln County, WV",54043.0,2006.0,2006.0,254.0,22064.0,1151.2
169,,"Lincoln County, WV",54043.0,2007.0,2007.0,263.0,21953.0,1198.0
170,,"Lincoln County, WV",54043.0,2008.0,2008.0,268.0,21881.0,1224.8
171,,"Lincoln County, WV",54043.0,2009.0,2009.0,264.0,21794.0,1211.3
172,,"Lincoln County, WV",54043.0,2010.0,2010.0,277.0,21720.0,1275.3
173,,"Lincoln County, WV",54043.0,2011.0,2011.0,286.0,21550.0,1327.1
174,,"Lincoln County, WV",54043.0,2012.0,2012.0,245.0,21627.0,1132.8
176,,"Logan County, WV",54045.0,2006.0,2006.0,507.0,36440.0,1391.3
177,,"Logan County, WV",54045.0,2007.0,2007.0,484.0,36443.0,1328.1
178,,"Logan County, WV",54045.0,2008.0,2008.0,498.0,36548.0,1362.6
179,,"Logan County, WV",54045.0,2009.0,2009.0,508.0,36645.0,1386.3
180,,"Logan County, WV",54045.0,2010.0,2010.0,483.0,36743.0,1314.5
181,,"Logan County, WV",54045.0,2011.0,2011.0,549.0,36457.0,1505.9
182,,"Logan County, WV",54045.0,2012.0,2012.0,515.0,36168.0,1423.9
184,,"McDowell County, WV",54047.0,2006.0,2006.0,380.0,23199.0,1638.0
185,,"McDowell County, WV",54047.0,2007.0,2007.0,374.0,22746.0,1644.2
186,,"McDowell County, WV",54047.0,2008.0,2008.0,374.0,22494.0,1662.7
187,,"McDowell County, WV",54047.0,2009.0,2009.0,359.0,22276.0,1611.6
188,,"McDowell County, WV",54047.0,2010.0,2010.0,364.0,22113.0,1646.1
189,,"McDowell County, WV",54047.0,2011.0,2011.0,381.0,21729.0,1753.4
190,,"McDowell County, WV",54047.0,2012.0,2012.0,399.0,21326.0,1871.0
192,,"Marion County, WV",54049.0,2006.0,2006.0,670.0,56284.0,1190.4
193,,"Marion County, WV",54049.0,2007.0,2007.0,695.0,56445.0,1231.3
194,,"Marion County, WV",54049.0,2008.0,2008.0,730.0,56141.0,1300.3
195,,"Marion County, WV",54049.0,2009.0,2009.0,687.0,56426.0,1217.5
196,,"Marion County, WV",54049.0,2010.0,2010.0,641.0,56418.0,1136.2
197,,"Marion County, WV",54049.0,2011.0,2011.0,643.0,56586.0,1136.3
198,,"Marion County, WV",54049.0,2012.0,2012.0,657.0,56678.0,1159.2
200,,"Marshall County, WV",54051.0,2006.0,2006.0,388.0,33814.0,1147.5
201,,"Marshall County, WV",54051.0,2007.0,2007.0,373.0,33583.0,1110.7
202,,"Marshall County, WV",54051.0,2008.0,2008.0,406.0,33248.0,1221.1
203,,"Marshall County, WV",54051.0,2009.0,2009.0,389.0,33116.0,1174.7
204,,"Marshall County, WV",54051.0,2010.0,2010.0,387.0,33107.0,1168.9
205,,"Marshall County, WV",54051.0,2011.0,2011.0,408.0,32800.0,1243.9
206,,"Marshall County, WV",54051.0,2012.0,2012.0,437.0,32674.0,1337.5
208,,"Mason County, WV",54053.0,2006.0,2006.0,321.0,26648.0,1204.6
209,,"Mason County, WV",54053.0,2007.0,2007.0,295.0,26738.0,1103.3
210,,"Mason County, WV",54053.0,2008.0,2008.0,311.0,27097.0,1147.7
211,,"Mason County, WV",54053.0,2009.0,2009.0,314.0,27309.0,1149.8
212,,"Mason County, WV",54053.0,2010.0,2010.0,359.0,27324.0,1313.9
213,,"Mason County, WV",54053.0,2011.0,2011.0,325.0,27298.0,1190.6
214,,"Mason County, WV",54053.0,2012.0,2012.0,326.0,27179.0,1199.5
216,,"Mercer County, WV",54055.0,2006.0,2006.0,824.0,61297.0,1344.3
217,,"Mercer County, WV",54055.0,2007.0,2007.0,900.0,61615.0,1460.7
218,,"Mercer County, WV",54055.0,2008.0,2008.0,848.0,61848.0,1371.1
219,,"Mercer County, WV",54055.0,2009.0,2009.0,894.0,62177.0,1437.8
220,,"Mercer County, WV",54055.0,2010.0,2010.0,863.0,62264.0,1386.0
221,,"Mercer County, WV",54055.0,2011.0,2011.0,946.0,62465.0,1514.4
222,,"Mercer County, WV",54055.0,2012.0,2012.0,912.0,62523.0,1458.7
224,,"Mineral County, WV",54057.0,2006.0,2006.0,321.0,27324.0,1174.8
225,,"Mineral County, WV",54057.0,2007.0,2007.0,277.0,27532.0,1006.1
226,,"Mineral County, WV",54057.0,2008.0,2008.0,287.0,27824.0,1031.5
227,,"Mineral County, WV",54057.0,2009.0,2009.0,331.0,28080.0,1178.8
228,,"Mineral County, WV",54057.0,2010.0,2010.0,327.0,28212.0,1159.1
229,,"Mineral County, WV",54057.0,2011.0,2011.0,319.0,28192.0,1131.5
230,,"Mineral County, WV",54057.0,2012.0,2012.0,310.0,27956.0,1108.9
232,,"Mingo County, WV",54059.0,2006.0,2006.0,392.0,27054.0,1449.0
233,,"Mingo County, WV",54059.0,2007.0,2007.0,353.0,27145.0,1300.4
234,,"Mingo County, WV",54059.0,2008.0,2008.0,378.0,26850.0,1407.8
235,,"Mingo County, WV",54059.0,2009.0,2009.0,369.0,26943.0,1369.6
236,,"Mingo County, WV",54059.0,2010.0,2010.0,360.0,26839.0,1341.3
237,,"Mingo County, WV",54059.0,2011.0,2011.0,369.0,26563.0,1389.2
238,,"Mingo County, WV",54059.0,2012.0,2012.0,349.0,26103.0,1337.0
240,,"Monongalia County, WV",54061.0,2006.0,2006.0,599.0,89656.0,668.1
241,,"Monongalia County, WV",54061.0,2007.0,2007.0,630.0,90764.0,694.1
242,,"Monongalia County, WV",54061.0,2008.0,2008.0,634.0,92200.0,687.6
243,,"Monongalia County, WV",54061.0,2009.0,2009.0,614.0,94165.0,652.0
244,,"Monongalia County, WV",54061.0,2010.0,2010.0,617.0,96189.0,641.4
245,,"Monongalia County, WV",54061.0,2011.0,2011.0,650.0,98528.0,659.7
246,,"Monongalia County, WV",54061.0,2012.0,2012.0,651.0,100332.0,648.8
248,,"Monroe County, WV",54063.0,2006.0,2006.0,145.0,13382.0,1083.5
249,,"Monroe County, WV",54063.0,2007.0,2007.0,165.0,13452.0,1226.6
250,,"Monroe County, WV",54063.0,2008.0,2008.0,165.0,13607.0,1212.6
251,,"Monroe County, WV",54063.0,2009.0,2009.0,153.0,13543.0,1129.7
252,,"Monroe County, WV",54063.0,2010.0,2010.0,175.0,13502.0,1296.1
253,,"Monroe County, WV",54063.0,2011.0,2011.0,173.0,13534.0,1278.3
254,,"Monroe County, WV",54063.0,2012.0,2012.0,166.0,13463.0,1233.0
256,,"Morgan County, WV",54065.0,2006.0,2006.0,183.0,17038.0,1074.1
257,,"Morgan County, WV",54065.0,2007.0,2007.0,181.0,17410.0,1039.6
258,,"Morgan County, WV",54065.0,2008.0,2008.0,196.0,17520.0,1118.7
259,,"Morgan County, WV",54065.0,2009.0,2009.0,194.0,17580.0,1103.5
260,,"Morgan County, WV",54065.0,2010.0,2010.0,212.0,17541.0,1208.6
261,,"Morgan County, WV",54065.0,2011.0,2011.0,194.0,17535.0,1106.4
262,,"Morgan County, WV",54065.0,2012.0,2012.0,190.0,17471.0,1087.5
264,,"Nicholas County, WV",54067.0,2006.0,2006.0,324.0,26205.0,1236.4
265,,"Nicholas County, WV",54067.0,2007.0,2007.0,320.0,26130.0,1224.6
266,,"Nicholas County, WV",54067.0,2008.0,2008.0,326.0,26138.0,1247.2
267,,"Nicholas County, WV",54067.0,2009.0,2009.0,328.0,26253.0,1249.4
