"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Hardy County, WV"	"54031"	"2006"	"2006"	132	13611	969.8
	"Hardy County, WV"	"54031"	"2007"	"2007"	140	13807	1014.0
	"Hardy County, WV"	"54031"	"2008"	"2008"	128	13793	928.0
	"Hardy County, WV"	"54031"	"2009"	"2009"	150	13885	1080.3
	"Hardy County, WV"	"54031"	"2010"	"2010"	143	14025	1019.6
	"Hardy County, WV"	"54031"	"2011"	"2011"	144	13912	1035.1
	"Hardy County, WV"	"54031"	"2012"	"2012"	131	13866	944.8
"Total"	"Hardy County, WV"	"54031"			968	96899	999.0
	"Harrison County, WV"	"54033"	"2006"	"2006"	828	68141	1215.1
	"Harrison County, WV"	"54033"	"2007"	"2007"	855	67940	1258.5
	"Harrison County, WV"	"54033"	"2008"	"2008"	823	68441	1202.5
	"Harrison County, WV"	"54033"	"2009"	"2009"	874	68696	1272.3
	"Harrison County, WV"	"54033"	"2010"	"2010"	828	69099	1198.3
	"Harrison County, WV"	"54033"	"2011"	"2011"	930	69436	1339.4
	"Harrison County, WV"	"54033"	"2012"	"2012"	834	69141	1206.2
"Total"	"Harrison County, WV"	"54033"			5972	480894	1241.9
	"Jackson County, WV"	"54035"	"2006"	"2006"	306	28877	1059.7
	"Jackson County, WV"	"54035"	"2007"	"2007"	318	29089	1093.2
	"Jackson County, WV"	"54035"	"2008"	"2008"	346	29101	1189.0
	"Jackson County, WV"	"54035"	"2009"	"2009"	331	29155	1135.3
	"Jackson County, WV"	"54035"	"2010"	"2010"	326	29211	1116.0
	"Jackson County, WV"	"54035"	"2011"	"2011"	315	29241	1077.3
	"Jackson County, WV"	"54035"	"2012"	"2012"	352	29234	1204.1
"Total"	"Jackson County, WV"	"54035"			2294	203908	1125.0
	"Jefferson County, WV"	"54037"	"2006"	"2006"	378	50003	756.0
	"Jefferson County, WV"	"54037"	"2007"	"2007"	434	51264	846.6
	"Jefferson County, WV"	"54037"	"2008"	"2008"	402	52184	770.4
	"Jefferson County, WV"	"54037"	"2009"	"2009"	423	53054	797.3
	"Jefferson County, WV"	"54037"	"2010"	"2010"	440	53498	822.5
	"Jefferson County, WV"	"54037"	"2011"	"2011"	417	54225	769.0
	"Jefferson County, WV"	"54037"	"2012"	"2012"	449	54504	823.8
"Total"	"Jefferson County, WV"	"54037"			2943	368732	798.1
	"Kanawha County, WV"	"54039"	"2006"	"2006"	2403	192954	1245.4
	"Kanawha County, WV"	"54039"	"2007"	"2007"	2443	192354	1270.1
	"Kanawha County, WV"	"54039"	"2008"	"2008"	2578	192414	1339.8
	"Kanawha County, WV"	"54039"	"2009"	"2009"	2457	193150	1272.1
	"Kanawha County, WV"	"54039"	"2010"	"2010"	2473	193063	1280.9
	"Kanawha County, WV"	"54039"	"2011"	"2011"	2391	192315	1243.3
	"Kanawha County, WV"	"54039"	"2012"	"2012"	2418	192179	1258.2
"Total"	"Kanawha County, WV"	"54039"			17163	1348429	1272.8
	"Lewis County, WV"	"54041"	"2006"	"2006"	235	16445	1429.0
	"Lewis County, WV"	"54041"	"2007"	"2007"	240	16360	1467.0
	"Lewis County, WV"	"54041"	"2008"	"2008"	219	16422	1333.6
	"Lewis County, WV"	"54041"	"2009"	"2009"	223	16422	1357.9
	"Lewis County, WV"	"54041"	"2010"	"2010"	198	16372	1209.4
	"Lewis County, WV"	"54041"	"2011"	"2011"	202	16416	1230.5
	"Lewis County, WV"	"54041"	"2012"	"2012"	238	16371	1453.8
"Total"	"Lewis County, WV"	"54041"			1555	114808	1354.4
	"Lincoln County, WV"	"54043"	"2006"	"2006"	254	22064	1151.2
